obiekt,cecha1,cecha2,cecha3,cecha4,cecha5,cecha6,cecha7,cecha8,cecha9,cecha10,cecha11,cecha12,cecha13,cecha14,cecha15,cecha16,cecha17,cecha18,cecha19,cecha20,cecha21,cecha22,cecha23,cecha24,cecha25,cecha26,cecha27,cecha28,cecha29,cecha30,cecha31,cecha32,cecha33
96,5,5,1,1,4,2,5,5,3,7,3,4,9,3,2,1,3,,,,,,,121,122,142,138,3,4,6,7,5,5
96A,5,5,3,1,3,3,5,7,1,7,2,5,9,3,2,1,5,5,1,2,3,5,5,93,97,110,116,3,5,7,8,5,5
96A,5,3,1,1,3,2,5,5,3,9,3,2,9,3,1,1,5,1,1,1,3,5,7,102,100,126,128,4,2,6,7,6,1
96A,5,3,1,1,3,3,5,5,3,9,2,5,9,3,2,2,5,3,1,1,3,5,5,99,105,130,125,4,3,7,2,5,9
97,5,3,7,1,5,3,7,6,1,7,1,4,9,3,8,1,9,1,1,1,3,6,7,50,56,45,55,3,4,5,8,4,2
97,7,5,3,1,3,3,5,7,1,7,3,4,9,3,2,3,7,1,1,1,2,5,7,62,59,67,62,3,1,6,3,4,2
97,7,5,3,1,5,3,5,7,1,7,3,4,9,3,2,3,9,1,1,1,3,5,7,67,72,73,75,3,6,5,9,4,8
99,5,5,3,1,4,3,5,8,1,7,2,5,9,3,2,1,9,3,1,1,2,6,5,72,76,90,70,2,9,6,8,4,1
99,7,5,1,3,3,2,5,7,1,7,3,4,9,3,2,1,9,5,1,2,3,6,5,88,89,72,83,2,4,5,6,6,1
99,7,5,3,3,3,3,5,8,1,7,3,4,9,3,2,1,9,3,1,2,2,6,5,90,97,87,88,3,6,9,5,7,11
